Descriptor,Training,Dim,Indexing Time (s),Descr. size (MB),Av. Search Time/image (s),mAP@50,mAP@100
ConvNeXtBase,classifier,2048,58.88042116165161,78.0078125,0.21317178408304852,0.9396186439335881,0.9295705903143571
ConvNeXtBase,metric,2048,55.53572082519531,78.0078125,0.12591266632080078,0.9333333333333333,0.9323357935622159
DINOv2_ViTB14,classifier,512,22.214518308639526,19.501953125,0.00954737663269043,0.29186981829640063,0.18486630875067628
DINOv2_ViTB14,metric,1024,21.499055862426758,39.00390625,0.010042921702067057,0.9326789082298633,0.9300078451539261
